Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22 00:00:00-04:00,239.56824928487615,240.31997193934956,236.21795435737923,236.9511260986328,4104300,0.0,0.0
2019-07-23 00:00:00-04:00,236.16229313157467,237.67502818519225,233.88855990295565,236.66343688964844,2889300,0.0,0.0
2019-07-24 00:00:00-04:00,234.60313762223598,234.6402677714494,227.4942434361643,233.0625762939453,4864000,0.0,0.0
2019-07-25 00:00:00-04:00,233.0625704199483,234.56601572213614,230.42688217133178,230.80738830566406,3362800,0.0,0.0
2019-07-26 00:00:00-04:00,231.1043795648693,235.6147297635276,228.774951247328,234.7423553466797,3362600,0.0,0.0
2019-07-29 00:00:00-04:00,234.64959253622786,236.93261571850124,234.18556470057118,235.55909729003906,2005500,0.0,0.0
2019-07-30 00:00:00-04:00,234.4825269042278,236.7098546381218,232.4500829125222,236.58920288085938,1908800,0.0,0.0
2019-07-31 00:00:00-04:00,237.87917460284697,238.65873776536702,230.6032092696535,231.09507751464844,3532400,0.0,0.0
2019-08-01 00:00:00-04:00,231.26215951019896,233.48021165780918,229.4895700513756,231.31784057617188,3613600,0.0,0.0
2019-08-02 00:00:00-04:00,231.72615644561577,233.47090513932994,228.39444093879067,232.0602569580078,2677600,0.0,0.0
2019-08-05 00:00:00-04:00,230.27841265674837,231.95819082344934,225.1369773255721,227.4292755126953,5812400,0.0,0.0
2019-08-06 00:00:00-04:00,228.2366514854923,230.41758728027344,226.0464543959265,230.41758728027344,3533000,0.0,0.0
2019-08-07 00:00:00-04:00,228.55217986780806,229.26677224404514,223.90261380930517,228.71922302246094,3205800,0.0,0.0
2019-08-08 00:00:00-04:00,228.47798691318278,229.85150509472922,225.86086359327348,229.8050994873047,2830700,0.0,0.0
2019-08-09 00:00:00-04:00,229.89789778037766,232.40364466942796,228.4315684663995,230.742431640625,2535000,0.0,0.0
2019-08-12 00:00:00-04:00,229.0348258086002,230.12066327731867,225.54534199506483,225.70310974121094,2667400,0.0,0.0
2019-08-13 00:00:00-04:00,224.2924320754176,232.4407718715895,224.13466434984397,231.28997802734375,2763400,0.0,0.0
2019-08-14 00:00:00-04:00,228.97914474066675,230.5382854478236,225.52677691875232,225.70310974121094,3464300,0.0,0.0
2019-08-15 00:00:00-04:00,226.77037774708347,227.61489752941156,224.07900817399346,226.6775665283203,2513500,0.0,0.0
2019-08-16 00:00:00-04:00,227.72628208758124,229.33181427121625,226.61260406602668,228.01397705078125,2810000,0.0,0.0
2019-08-19 00:00:00-04:00,229.6844393271318,230.6124947403977,226.52904242542675,227.1044464111328,2672300,0.0,0.0
2019-08-20 00:00:00-04:00,226.64043291145862,227.00237397888054,222.65906700881504,222.88180541992188,3201300,0.0,0.0
2019-08-21 00:00:00-04:00,222.90967421100964,224.48736588027393,222.08370530315332,223.05816650390625,2761900,0.0,0.0
2019-08-22 00:00:00-04:00,223.0581540862887,223.0581540862887,215.93068019508564,216.18125915527344,4498200,0.0,0.0
2019-08-23 00:00:00-04:00,216.14411227956683,218.185845632743,212.8773672364901,214.06527709960938,4826600,0.0,0.0
2019-08-26 00:00:00-04:00,215.7914957362109,217.6847229614719,213.8797034335538,214.45509338378906,2918300,0.0,0.0
2019-08-27 00:00:00-04:00,215.04903473055424,215.68010571182583,206.58517258500498,206.89141845703125,4988100,0.0,0.0
2019-08-28 00:00:00-04:00,206.41811741386437,213.23933149244598,204.89610685115417,210.99343872070312,4847600,0.0,0.0
2019-08-29 00:00:00-04:00,211.98643322103646,215.58729305196633,211.60592707168502,214.0281524658203,4052500,0.0,0.0
2019-08-30 00:00:00-04:00,216.85873326294734,218.13945442154053,215.57801210435414,217.1649932861328,3384100,0.0,0.0
2019-09-03 00:00:00-04:00,215.0675842435853,215.4666413068054,212.03283882771396,214.0281524658203,3382300,0.0,0.0
2019-09-04 00:00:00-04:00,215.26244964349834,216.19050505404243,210.20455048823348,210.41799926757812,4526100,0.0,0.0
2019-09-05 00:00:00-04:00,213.4527259326311,214.85408438318515,211.20683373300784,213.0722198486328,4256900,0.0,0.0
2019-09-06 00:00:00-04:00,213.61052718696664,215.27175441897663,212.1441978357354,212.5247039794922,4183200,0.0,0.0
